AUSLÄNDER,RAMMSTEIN,Rammstein,industrial
Djadja (feat. Maluma) - Remix,Djadja (feat. Maluma) [Remix],Aya Nakamura,latin viral pop
Slightly Tipsy (She is My Type♡ X SANDEUL),Slightly Tipsy (She is My Type♡ X SANDEUL),Sandeul,korean pop
Allang Al Niet Meer,Allang Al Niet Meer,Boef,seattle hip hop
Hardcore Vibes,Dune,Dune,eurodance
Kangna,Unda Da Influence,Dr Zeus,punjabi pop
Cupido,Cupido,Caju Hassen,christian music
Бумажный дом,Бумажный дом,Mot,ukrainian pop
Like You - Tere Jaisi,Like You (Tere Jaisi),Garry Sandhu,punjabi pop
Snollebolleke,… En Door,Snollebollekes,italian pop
Mama,Mama,Mago Trapus,funk pop
На своём вайбе (feat. Гуф),Баха и Дмитрий Карантино,Jah Khalib,russian hip hop
Do You Know,Do You Know,Diljit Dosanjh,modern bollywood
Między mną a Tobą,Taksydermia,Sulin,boy band
Escápate Conmigo (feat. Ozuna),Victory,Wisin,latin
Sandhu Takeover,Sandhu Takeover,Manni Sandhu,punjabi pop
Chitta Kurta,Chitta Kurta,Karan Aujla,desi pop
Deve ser horrível dormir sem mim,Deve ser horrível dormir sem mim,Manu Gavassi,nova mpb
BRABA,BRABA,Luísa Sonza,pop nacional
Manana,Manana,Belah,indonesian pop
Tristinha,Tristinha,Ferrugem,tamil hip hop
Temper Temper (feat. ONR),Temper Temper (feat. ONR),Sander van Doorn,progressive house
Bestia,Konfetti,Young Igi,polish trap
Só Você,Na Pressão,MC Rogerinho,liedermacher
Moonchild Ballad,'TALE OF THE NINE TAILED (Original Television Soundtrack), Pt. 3',Lyn,k-pop
Mistakes,Mistakes,Sem Thomasson,pop reggaeton
'Santa Claus Is Comin'' to Town',Christmas Songs by Sinatra,Frank Sinatra,easy listening
Finally Friday,Friday Feels,Various Artists,new orleans rap
Buzi,Buzi,Young Igi,polish trap
Mended,Live Forever (Deluxe),Matthew West,world worship
GO!!!,FLOW the Best: Single Collection,FLOW,anime score
Despacito - Remix,Despacito Feat. Justin Bieber (Remix),Luis Fonsi,latin pop
The Naari Naari Song (From "Made in China"),The Naari Naari Song (From "Made in China"),Sachin-Jigar,sufi
Catch the Moment,Little Devil Parade,LiSA,anime rock
Fresh Prince (trill 4ever),Opowieści z Doliny Smoków,Bedoes,polish trap
Have Yourself a Merry Little Christmas,Winter Songs,Gavin James,viral pop
Kyouran Hey Kids!!,FIXION,THE ORAL CIGARETTES,japanese indie rock
