Meant to Be (feat. Florida Georgia Line),All Your Fault: Pt. 2,Bebe Rexha,pop
Believe,Believe,Cher,dance pop
Castle on the Hill,Castle on the Hill,Ed Sheeran,pop
Ub3R,Ub3R,C. Malloy,dance pop
"'CAN''T STOP THE FEELING! (Original Song from DreamWorks Animation''s ""TROLLS"")'","'CAN''T STOP THE FEELING! (Original Song from DreamWorks Animation''s ""TROLLS"")'",Justin Timberlake,pop
Loco Enamorado,Loco Enamorado,Abraham Mateo,reggaeton
Love Me Land,Love Me Land,Zara Larsson,dance pop
Stitches,Handwritten,Shawn Mendes,dance pop
Amigos y Enemigos (feat. Bad Bunny & Almighty) - Remix,Amigos y Enemigos (Remix),Noriel,reggaeton
Sigo Extrañándote,Energía,J Balvin,reggaeton
Havana - Remix,Havana (Remix),Camila Cabello,pop
Dill Dall (feat. Lothepus & Pilgaard),Dill Dall (feat. Lothepus & Pilgaard),Benjamin Beats,reggaeton
Somebody,Strangers / Lovers,Dagny,pop
'10,000 Hours (with Justin Bieber)','10,000 Hours (with Justin Bieber)',Dan + Shay,pop
lovely (with Khalid),lovely (with Khalid),Billie Eilish,pop
